World,"300,914,504","+212,143","5,490,631",+792,"257,613,987","+85,062","37,809,886","92,907","38,605",704.4,
USA,"59,564,116",,"855,843 ",,"42,089,198",,"16,619,075","21,467","178,368","2,563","829,437,395"
India,"35,226,386",,"483,178 ",,"34,371,845",,"371,363","8,944","25,152",345,"686,819,128"
Brazil,"22,395,322",,"619,730 ",,"21,567,845",,"207,747","8,318","104,239","2,885","63,776,166"
UK,"14,015,065",,"149,515 ",,"10,620,728",,"3,244,822",875,"204,822","2,185","416,613,079"
France,"11,183,238",,"125,013 ",,"8,393,827",,"2,664,398","3,333","170,757","1,909","188,795,159"
Russia,"10,601,300",,"313,817 ",,"9,623,677",,"663,806","2,300","72,597","2,149","242,300,000"
Turkey,"9,787,274",,"83,231 ",,"9,217,669",,"486,374","1,128","114,188",971,"121,013,917"
Germany,"7,399,003",,"114,207 ",,"6,664,800","+38,300","619,996","4,636","87,885","1,357","89,622,218"
Italy,"6,975,465",,"138,474 ",,"5,243,412",,"1,593,579","1,467","115,627","2,295","145,453,492"
Spain,"6,922,466",,"89,837 ",,"5,124,221",,"1,708,408","2,005","147,972","1,920","66,213,858"
Iran,"6,203,046",,"131,802 ",,"6,047,528",,"23,716","2,209","72,449","1,539","42,484,271"
Argentina,"6,025,303",,"117,386 ",,"5,427,191",,"480,726","1,572","131,490","2,562","28,841,649"
Colombia,"5,242,672",,"130,191 ",,"5,006,108",,"106,373",342,"101,399","2,518","30,077,449"
Indonesia,"4,264,669",,"144,116 ",,"4,115,358",,"5,195",,"15,346",519,"64,718,098"
Poland,"4,179,292",,"99,311 ",,"3,683,571",,"396,410","1,836","110,611","2,628","27,705,500"
Mexico,"4,055,095","+25,821","299,933 ",+128,"3,325,558","+3,615","429,604","4,798","30,959","2,290","12,570,815"
Ukraine,"3,696,468","+7,177","97,088 ",+192,"3,506,509","+5,595","92,871",177,"85,298","2,240","16,933,070"
South Africa,"3,504,554",,"92,112 ",,"3,260,642",,"151,800",546,"57,984","1,524","21,441,211"
Netherlands,"3,247,900",,"21,041 ",,"2,769,789",,"457,070",436,"188,916","1,224","21,107,399"
Philippines,"2,910,664","+21,819","51,871 ",+129,"2,781,424",+973,"77,369",899,"26,038",464,"25,509,903"
Malaysia,"2,776,699",,"31,628 ",,"2,705,292",,"39,779",253,"84,160",959,"41,824,593"
Czechia,"2,517,475","+6,641","36,507 ",+32,"2,372,251",+183,"108,717",473,"234,422","3,399","47,378,921"
Canada,"2,437,822",,"30,584 ",,"2,030,568",,"376,670",455,"63,746",800,"53,527,515"
Peru,"2,329,717",,"202,934 ",,N/A,N/A,N/A,906,"69,200","6,028","22,086,761"
Thailand,"2,252,776","+7,526","21,799 ",+19,"2,188,397","+2,895","42,580",588,"32,153",311,"17,270,775"
Belgium,"2,206,992","+27,282","28,446 ",+17,"1,840,477","+13,822","338,069",471,"189,182","2,438","27,727,666"
Iraq,"2,095,848",,"24,194 ",,"2,066,713",,"4,941",68,"50,397",582,"16,890,412"
Vietnam,"1,843,563",,"33,644 ",,"1,464,415",,"345,504","6,626","18,685",341,"75,383,396"
Romania,"1,827,867",,"58,940 ",,"1,753,835",,"15,092",400,"95,984","3,095","17,349,823"
